110,Round 1,"RAJKIYA ENGINEERING COLLEGE,MAINPURI",Mechanical Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,263023,405197,,,,,,,,,,,,
111,Round 1,"RAJKIYA ENGINEERING COLLEGE, MIRZAPUR",Computer Science and Engineering,B.Tech,Home State,EWS(GL),Female Seats,417439,444521,,,,,,,,,,,,
112,Round 1,"GOEL INSTITUTE OF TECHNOLOGY & MANAGEMENT,LUCKNOW",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,BC(Girl),Female Seats,940813,1065263,,,,,,,,,,,,
113,Round 1,"GOEL INSTITUTE OF TECHNOLOGY & MANAGEMENT,LUCKNOW",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,OPEN(GIRL),Female Seats,775714,928259,,,,,,,,,,,,
114,Round 1,"ISABELLA THOBURN COLLEGE (PROFESSIONAL STUDIES),LUCKNOW",Artificial Inelligence (AI) And Data Science,B.Tech,All India,OPEN,Female Seats,380883,963159,,,,,,,,,,,,
115,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,BC(Girl),Female Seats,121977,147485,,,,,,,,,,,,
116,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,ST(Girl),Female Seats,1012814,1012814,,,,,,,,,,,,
117,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Electronics and Communication Engineering,B.Tech,Home State,SC,Both Male and Female Seats,717259,1156247,,,,,,,,,,,,
118,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Information Technology,B.Tech,Home State,EWS(GL),Female Seats,176368,187247,,,,,,,,,,,,
119,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,OPEN(AF),Both Male and Female Seats,172800,190740,,,,,,,,,,,,
120,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,OPEN(GIRL),Female Seats,117787,136180,,,,,,,,,,,,
121,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Electrical & Computer Engg.,B.Tech,All India,OPEN,Both Male and Female Seats,130209,175039,,,,,,,,,,,,
122,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Computer Science Information Technology,B.Tech,Home State,OPEN(AF),Both Male and Female Seats,192215,213603,,,,,,,,,,,,
123,Round 1,"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,86859,336855,,,,,,,,,,,,
124,Round 1,"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR",Computer Science and Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,343188,517425,,,,,,,,,,,,
125,Round 1,"Dr. Rammanohar Lohia Avadh University, Faizabad",Electronics Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,268893,538485,,,,,,,,,,,,
126,Round 1,"D. D. U. Gorakhpur University, Gorakhpur",Computer Science and Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,214494,245426,,,,,,,,,,,,
127,Round 1,"D. D. U. Gorakhpur University, Gorakhpur",Electronics and Communication Engineering,B.Tech,Home State,EWS(GL),Female Seats,509748,509748,,,,,,,,,,,,
128,Round 1,"D. D. U. Gorakhpur University, Gorakhpur",Mechanical Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,345141,602980,,,,,,,,,,,,
129,Round 1,"Khwaja Moinuddin Chishti Language University, Lucknow",Computer Science & Engineering  (Artificial Intelligence & data Science),B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,475922,479062,,,,,,,,,,,,
130,Round 1,"Khwaja Moinuddin Chishti Language University, Lucknow",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,BC(Girl),Female Seats,581698,589334,,,,,,,,,,,,
131,Round 1,"ABES ENGG.COLLEGE,GHAZIABAD",Mechanical Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,258872,477513,,,,,,,,,,,,
132,Round 1,"ABES ENGG.COLLEGE,GHAZIABAD",Electrical & Computer Engg. (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,123025,260185,,,,,,,,,,,,
133,Round 1,"I.E.C. COLLEGE OF ENGINEERING & TECHNOLOGY,GAUTAM BUDDH NAGAR",Civil Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,493326,493326,,,,,,,,,,,,
134,Round 1,"Dr. Rammanohar Lohia Avadh University, Faizabad",Civil Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,375493,703849,,,,,,,,,,,,
135,Round 1,"Dr. Rammanohar Lohia Avadh University, Faizabad",Information Technology,B.Tech,Home State,SC(Girl),Female Seats,614193,614193,,,,,,,,,,,,
